PIXELS,LC,COUNTRY_ID
6982,40,405
35,160,614
2043,210,405
26029,90,405
10331,90,614
131,121,614
722,110,405
3173,200,447
581,61,614
62216,180,614
1734,180,405
21,202,405
49,200,405
216,201,447
72,150,405
3,152,614
11,80,405
293041,190,399
3022948,11,399
608430,10,399
53370,210,399
890,80,399
360686,100,399
676620,30,399
28176,110,399
31,80,447
24896,40,399
280239,70,424
9,190,400
21514,200,399
76930,100,424
97832,130,424
78693,90,424
588149,70,399
107150,30,424
429155,11,424
32303,150,399
258903,90,399
104542,10,424
528,202,399
27130,180,399
1442150,130,399
46559,60,424
9883,210,424
57411,190,424
4772,40,424
1156541,60,399
23,12,405
112905,90,41
792,150,424
3687,160,41
10790110,20,592
1284,180,424
18170,61,41
1731,180,41
55,61,410
15,200,424
7149,190,41
328,61,424
2,201,405
1154,110,424
139,80,424
1216,12,424
42,201,424
354,72,41
228525,12,399
7588,11,39
18797,220,520
4065,201,614
7,61,405
10302,130,406
2484,190,406
7622,11,406
4422,100,406
1791,90,406
6237,30,406
425,70,406
7634,60,406
1239,10,406
277,40,406
6,180,406
9327,11,41
109,62,592
4,30,255
103,210,406
691,202,614
1,120,447
6,110,406
169,12,406
45,50,267
6,210,244
172,210,243
85,10,243
9924,60,41
287,11,243
81,130,243
391,190,243
23,80,243
54,70,243
295,30,243
19,100,243
19,80,41
8,150,406
403,210,400
10,62,41
78881,70,423
60601,90,423
26,180,400
2,11,400
32920,100,423
33089,130,423
52188,30,423
65070,10,423
32712,190,423
230182,11,423
212069,60,423
7508240,50,592
1536,40,423
6,190,40
24,71,243
9,70,244
5,40,243
4968,210,423
2,60,243
2,122,520
994,61,423
411,180,423
414,50,268
340,110,423
244,30,41
7,210,246
133,210,245
72,10,245
33,80,245
304,190,245
938,30,245
514,11,245
10,100,245
8,70,245
5,110,245
35,130,245
345,150,423
25,50,37
5172,140,592
397,200,423
812,10,39
206,201,423
3,40,245
683,61,399
45,50,39
168,40,39
6,71,245
810459,202,592
1044405,220,592
414711,201,592
1568,30,39
418130,70,422
60217,30,422
3156,40,422
11400,210,422
206826,130,422
123425,100,422
202825,11,422
43119,10,422
504,12,423
38444,190,422
136414,90,422
168,20,267
2079,180,422
33,70,400
34,200,400
1,202,400
868,210,398
1105,70,398
78,200,398
62097,60,422
352,110,398
1080,190,398
4,10,400
191,100,398
1498,11,398
8604,12,422
561,10,398
18,40,398
997,130,398
419,61,422
156,30,247
3321,110,422
40,12,447
232004,60,644
317701,10,644
664705,11,644
41956,30,644
23657,100,644
62064,190,644
15513,90,644
108711,130,644
2111,40,644
19346,150,422
84,61,644
93,190,248
13012,70,644
5489,210,446
420117,10,446
39283,11,446
11541,30,446
112,30,398
663,70,446
1244,100,446
35002,190,446
40159,60,446
22780,210,644
2098,130,446
398,90,446
151,61,446
15705,12,644
1,80,398
405,40,446
8701,180,644
5,110,446
36,150,446
1408516,10,647
521889,11,647
49444,100,647
110083,30,647
848586,60,647
277809,130,647
143280,190,647
5684,40,647
203381,70,647
48089,210,647
774,180,446
49670,180,647
255,150,644
18223,110,647
25,110,644
207,201,647
3,201,446
167590,90,647
53820,12,647
22,200,644
7450,61,647
3858,80,422
19782,201,422
13484,200,422
189077,130,404
60979,100,404
62659,11,404
37130,60,404
57982,90,404
97917,70,404
22204,30,404
29191,190,404
11127,10,404
2818,40,404
2,110,400
23598,210,404
6,61,398
32,90,398
1764,180,398
33,60,398
7617,20,399
2168,12,404
1984,20,644
276,180,404
259,80,647
18932,150,404
18,152,592
5885,220,422
52921,50,36
716,200,647
2,61,404
3314,110,404
2,202,422
41,80,404
828,12,398
147,201,644
177,11,403
572,130,403
18824,201,404
4,110,403
20,210,403
2,180,403
305,90,403
24394,200,404
196,190,403
247,100,403
33,10,403
46,60,403
67,30,403
24,40,403
891,70,403
3,12,403
44,201,403
17,150,403
1426,150,647
341,210,183
144,70,183
487,90,183
769,180,183
1472,120,183
381,100,183
45,190,183
17,150,517
8,12,446
54,200,183
57,130,517
317852,130,420
80101,200,420
39482,150,420
20538,201,420
13,150,183
5730,220,420
151,210,449
230464,70,420
5,61,183
175908,100,420
1246406,11,420
215812,190,420
264,110,518
1846,130,518
111,30,518
90,40,518
641321,10,420
12,30,517
63,11,518
155,70,518
10,110,517
344856,12,420
185216,40,420
80244,90,420
13,40,517
45,11,517
4321,210,518
5556,180,518
115,60,518
682,210,517
44,120,518
52694,11,38
3976,40,38
3546,110,420
1493,30,38
7,202,398
16854,220,404
55,180,517
462,10,518
65,70,517
47,90,518
3851,80,420
168973,30,420
6,90,517
952789,60,420
5,100,517
47868,210,420
241,10,38
2192,150,518
37,150,398
4980,180,420
7,10,517
38,100,518
192,40,41
68246,90,651
34000,100,651
80544,60,651
43169,30,651
36352,70,651
33430,11,651
13289,10,651
2,130,183
11,202,404
1517,40,651
6776,190,651
7,71,183
3,210,184
858,130,448
434,70,448
1378,210,448
